"Branch","CommitDate","MergedInto","IsMerged","IsStale","Candidate"
"chore/ci-windows-x64","06/09/2025 19:31:42","main","False","False","False"
"tests/coverage-boost","06/09/2025 19:58:08","main","False","False","False"
"chore/ci-fix-windows-x64","08/09/2025 13:19:39","main","False","False","False"
"chore/maintenance-ci-hardening","09/09/2025 06:49:54","main","False","False","False"
"dependabot/github_actions/amannn/action-semantic-pull-request-6","12/09/2025 05:43:11","main","False","False","False"
"dependabot/github_actions/actions/download-artifact-5","12/09/2025 05:43:18","main","False","False","False"
"dependabot/nuget/tests/ProgesiCore.Tests/multi-c50dbe7753","12/09/2025 05:45:05","main","False","False","False"
"dependabot/nuget/tests/ProgesiCore.Tests/multi-eea092399e","12/09/2025 05:45:38","main","False","False","False"
"dependabot/nuget/src/ProgesiGrasshopperAssembly/multi-1c6d3b89d9","12/09/2025 05:46:10","main","False","False","False"
"dependabot/nuget/src/ProgesiRepositories.Sqlite/multi-30fd864d15","12/09/2025 05:46:27","main","False","False","False"
"dependabot/nuget/MinVer-6.0.0","12/09/2025 05:47:35","main","False","False","False"
"dependabot/nuget/tools/ProgesiDbMaint/SQLitePCLRaw.bundle_e_sqlite3-3.0.2","12/09/2025 05:48:52","main","False","False","False"
"dependabot/nuget/tests/ProgesiRepositories.Sqlite.Tests/SQLitePCLRaw.lib.e_sqlite3-2.1.11","12/09/2025 05:49:12","main","False","False","False"
"dependabot/nuget/tests/ProgesiRepositories.Sqlite.Tests/SQLitePCLRaw.provider.e_sqlite3-3.0.2","12/09/2025 05:49:29","main","False","False","False"
"dependabot/github_actions/actions/setup-dotnet-5","13/09/2025 05:40:16","main","False","False","False"
"origin","14/09/2025 08:46:20","main","False","False","False"
"dependabot/github_actions/actions/checkout-5","14/09/2025 08:47:22","main","False","False","False"
"chore/restore-axisvariable","14/09/2025 22:36:31","main","False","False","False"
"chore/audit-repo","15/09/2025 05:11:48","main","False","False","False"
